id,name,type,year_start,year_end,description,key_works,tags,related_to,primary_field,key_contributions,relevance_to_phd,focus_tags
1,Plato,person,428 BCE,348 BCE,"Ancient Greek philosopher who founded the Academy in Athens. Developed the Theory of Forms (or Ideas), arguing that the material world is a shadow of an eternal realm of perfect Forms. His dialogues established the foundation for Western philosophy and idealist metaphysics.","The Republic, Symposium, Phaedo",idealism;classical-philosophy;epistemology,2;3
12,Scholasticism,framework,1100,1400,"Medieval philosophical tradition that used Aristotelian logic to explore theological questions. Emphasized dialectical reasoning and systematic argumentation. Dominated European universities and established methods for rational inquiry within faith.",,,11
13,Renaissance Humanism,framework,1400,1600,"Cultural and intellectual movement that revived classical learning and emphasized human dignity and agency. Developed philology and textual criticism. Challenged medieval scholasticism with focus on original sources and human experience rather than theological authority.",,,14;15
14,Niccolò Machiavelli,person,1469,1527,"Florentine political philosopher who wrote 'The Prince' (1513) and 'Discourses on Livy' (1531). Pioneered political realism by analyzing power dynamics separate from moral considerations. Used historical examples to derive practical lessons about statecraft and leadership.","The Prince, Discourses on Livy",political-realism;humanism;power-analysis,13;15
15,Jean Mabillon,person,1632,1707,"Benedictine monk who published 'De re diplomatica' (1681), establishing paleography as a science for authenticating historical documents. Revolutionized historical research by providing systematic methods for source criticism and document verification.",De re diplomatica,paleography;source-criticism;historical-method,13
16,Francis Bacon,person,1561,1626,"English philosopher and statesman who developed the inductive method in 'Novum Organum' (1620). Advocated empirical observation and experimentation. Challenged Aristotelian deductive logic and proposed systematic approach to scientific inquiry.","Novum Organum, New Atlantis",empiricism;scientific-method;induction,17
17,Scientific Revolution,framework,1500,1700,"Period of dramatic advances in mathematics, physics, astronomy, and biology. Established experimental method and mathematical analysis of nature. Transformed understanding of cosmos from geocentric to heliocentric, laying foundations for modern science.",,,16;18;19
18,René Descartes,person,1596,1650,"French philosopher who developed rationalist philosophy and methodological doubt. His 'Discourse on Method' (1637) established 'Cogito, ergo sum' (I think, therefore I am) as foundation for certain knowledge. Pioneered analytic geometry and mind-body dualism.","Discourse on Method, Meditations on First Philosophy",rationalism;methodological-doubt;cartesian-dualism,17;20
19,Isaac Newton,person,1643,1727,"English mathematician and physicist who formulated laws of motion and universal gravitation in 'Principia Mathematica' (1687). Developed calculus and demonstrated that natural phenomena follow mathematical laws. Epitomized Scientific Revolution's synthesis of mathematics and empirical observation.","Principia Mathematica, Opticks",physics;mathematics;scientific-revolution,17
20,Rationalism,framework,1600,1750,"Philosophical tradition emphasizing reason as primary source of knowledge. Argued that certain truths can be known independently of sensory experience through innate ideas or logical deduction. Contrasted with empiricism.",,,18;21;22
21,Baruch Spinoza,person,1632,1677,"Dutch philosopher who developed monistic metaphysics in 'Ethics' (1677). Argued for deterministic universe governed by natural laws. Identified God with Nature. Influenced later pantheism and contributed to Enlightenment secularization of philosophy.",Ethics,rationalism;pantheism;determinism,20
22,Gottfried Leibniz,person,1646,1716,"German polymath who developed monadology, calculus, and philosophical optimism. Argued for pre-established harmony and principle of sufficient reason. Contributed to logic, mathematics, and metaphysics. Envisioned universal logical language.",Monadology,rationalism;logic;monadology,20
23,John Locke,person,1632,1704,"English empiricist who argued in 'Essay Concerning Human Understanding' (1689) that mind begins as blank slate (tabula rasa) filled by experience. Influenced political liberalism with social contract theory. Established empiricist epistemology opposing innate ideas.","Essay Concerning Human Understanding, Two Treatises of Government",empiricism;liberalism;tabula-rasa;social-contract,24
24,British Empiricism,framework,1650,1800,"Philosophical tradition asserting that knowledge comes primarily from sensory experience. Opposed Continental rationalism's emphasis on innate ideas. Established experience and observation as foundations of knowledge.",,,23;25;26
25,David Hume,person,1711,1776,"Scottish philosopher who developed radical empiricism and skepticism in 'Treatise of Human Nature' (1739). Questioned causality, induction, and rational basis for belief. Argued that reason is slave of passions. Profoundly influenced later philosophy.","A Treatise of Human Nature, An Enquiry Concerning Human Understanding",empiricism;skepticism;causality-critique,24;27
26,George Berkeley,person,1685,1753,"Irish philosopher who developed subjective idealism, arguing that material objects exist only as ideas perceived by minds. Famous dictum: 'esse est percipi' (to be is to be perceived). Challenged materialist metaphysics.",A Treatise Concerning the Principles of Human Knowledge,idealism;empiricism;immaterialism,24
27,Immanuel Kant,person,1724,1804,"German philosopher who synthesized rationalism and empiricism in 'Critique of Pure Reason' (1781). Developed transcendental idealism and categorical imperative. Argued that mind actively structures experience through a priori categories. Revolutionary in epistemology and ethics.","Critique of Pure Reason, Critique of Practical Reason, Groundwork of the Metaphysics of Morals",transcendental-idealism;categorical-imperative;enlightenment;epistemology,25;28
28,Enlightenment,framework,1650,1800,"Intellectual movement emphasizing reason, individual rights, scientific method, and progress. Challenged traditional authority of church and monarchy. Produced revolutions in philosophy, politics, science, and society. Established foundations for modern liberal democracy.",,,27;29;30;31
29,Edward Gibbon,person,1737,1794,"English historian who wrote 'The Decline and Fall of the Roman Empire' (1776-1789). Applied Enlightenment skepticism to history, analyzing religious and political factors in Rome's collapse. Established literary historical style combining narrative with critical analysis.","The History of the Decline and Fall of the Roman Empire",enlightenment-history;skepticism;narrative-history,28;30
30,Voltaire,person,1694,1778,"French Enlightenment writer and historian who pioneered cultural and social history. Advocated religious tolerance and criticized church authority. Used history to promote Enlightenment values of reason and progress.",Essay on the Customs and the Spirit of the Nations,enlightenment;cultural-history;secularism,28
31,Montesquieu,person,1689,1755,"French political philosopher who wrote 'The Spirit of the Laws' (1748), analyzing how laws relate to government types and social conditions. Pioneered comparative political analysis and influenced constitutional theory with separation of powers doctrine.",The Spirit of the Laws,political-philosophy;comparative-analysis;separation-of-powers,28
32,G.W.F. Hegel,person,1770,1831,"German idealist philosopher who developed dialectical method and philosophy of history. In 'Phenomenology of Spirit' (1807) and 'Philosophy of History' (1837), argued that history progresses through dialectical process (thesis-antithesis-synthesis) toward greater freedom and self-consciousness. Profoundly influenced Marx, existentialism, and continental philosophy.","Phenomenology of Spirit, Philosophy of History, Science of Logic",german-idealism;dialectics;historical-teleology;absolute-idealism,33;34;38
33,German Idealism,framework,1780,1850,"Philosophical movement following Kant that emphasized role of mind in constituting reality. Explored consciousness, self, and absolute. Influenced by Kant's transcendental idealism but sought to overcome his thing-in-itself.",,,27;32;34;35
34,Johann Fichte,person,1762,1814,"German idealist who developed subjective idealism emphasizing the self (Ich) as foundation of knowledge. Influenced early Romantic nationalism. Extended Kant's philosophy by eliminating thing-in-itself.",Science of Knowledge,german-idealism;subjective-idealism;nationalism,33;32
35,Friedrich Schelling,person,1775,1854,"German idealist who developed philosophy of nature attempting to reconcile idealism and naturalism. Bridged Fichte and Hegel. Explored relationship between consciousness and nature through Absolute.",System of Transcendental Idealism,german-idealism;philosophy-of-nature;romanticism,33;32
36,Auguste Comte,person,1798,1857,"French philosopher who founded positivism in 'Course in Positive Philosophy' (1830-1842). Developed law of three stages (theological, metaphysical, positive) describing humanity's intellectual evolution. Coined term 'sociology' and advocated applying scientific method to study of society.","Course in Positive Philosophy, System of Positive Polity",positivism;sociology;scientific-method;progress,37
37,Positivism,framework,1830,1900,"Philosophical approach asserting that authentic knowledge comes from sensory experience interpreted through reason and logic. Rejected metaphysics and theology as meaningless. Advocated scientific method as sole path to truth. Influenced social sciences and logical positivism.",,,36;66
38,Karl Marx,person,1818,1883,"German philosopher and economist who developed historical materialism and critique of capitalism. With Engels, wrote 'Communist Manifesto' (1848) and 'Capital' (1867). Argued that economic base determines social superstructure and that history progresses through class struggle. Foundational for socialism and critical theory.","Capital, The German Ideology, Communist Manifesto (with Engels)",marxism;historical-materialism;class-struggle;political-economy,39;40;41;32
39,Friedrich Engels,person,1820,1895,"German philosopher and Marx's collaborator. Co-wrote 'Communist Manifesto' (1848) and edited later volumes of 'Capital'. Applied dialectical materialism to natural sciences. Supported Marx financially and intellectually throughout their partnership.","The Communist Manifesto (with Marx), The Condition of the Working Class in England",marxism;historical-materialism;dialectical-materialism,38;40
40,Marxism,framework,1840,present,"Revolutionary theory analyzing history through class struggle and economic relations. Argues that material conditions (base) determine social relations and ideas (superstructure). Predicts capitalism's overthrow by working class. Profoundly influenced labor movements, historiography, and critical theory.",,,38;39;41;42;43;44;45;46
41,Historical Materialism,framework,1840,present,"Marxist methodology viewing history as driven by material economic conditions rather than ideas. Analyzes societies through base (economic structure) and superstructure (culture, politics, ideology). Emphasizes class relations and modes of production.",,,38;40
42,György Lukács,person,1885,1971,"Hungarian Marxist philosopher who wrote 'History and Class Consciousness' (1923), developing concept of reification. Analyzed how commodity fetishism obscures social relations under capitalism. Founded Western Marxism by integrating Hegelian dialectics with Marx's materialism.","History and Class Consciousness, The Theory of the Novel",western-marxism;reification;hegelian-marxism,40;43
43,Frankfurt School,framework,1920,1970,"Critical theory tradition founded at Institute for Social Research in Frankfurt. Combined Marxism with psychoanalysis, sociology, and cultural criticism. Critiqued both capitalism and Soviet communism. Analyzed culture industry, instrumental reason, and domination.",,,42;44;45;46
44,Max Horkheimer,person,1895,1973,"German philosopher and Frankfurt School director. Co-wrote 'Dialectic of Enlightenment' (1947) with Adorno, analyzing how Enlightenment reason becomes instrumental domination. Developed critical theory as reflexive social criticism distinguishing facts from values.","Dialectic of Enlightenment (with Adorno), Eclipse of Reason",frankfurt-school;critical-theory;enlightenment-critique,43;45
45,Theodor Adorno,person,1903,1969,"German philosopher, sociologist, and musicologist. Co-wrote 'Dialectic of Enlightenment' (1947) examining Enlightenment's self-destruction. Developed negative dialectics and critique of culture industry. Analyzed art's critical potential under capitalism.","Dialectic of Enlightenment (with Horkheimer), Negative Dialectics, Aesthetic Theory",frankfurt-school;critical-theory;culture-industry;negative-dialectics,43;44;46
46,Herbert Marcuse,person,1898,1979,"German-American philosopher who wrote 'One-Dimensional Man' (1964), critiquing advanced industrial society's absorption of opposition. Influenced 1960s New Left. Explored liberation through aesthetics and Eros. Analyzed repressive tolerance and technological rationality.","One-Dimensional Man, Eros and Civilization",frankfurt-school;critical-theory;new-left;liberation,43;45
47,Antonio Gramsci,person,1891,1937,"Italian Marxist who developed concepts of cultural hegemony and organic intellectuals in 'Prison Notebooks' (1929-1935). Analyzed how ruling class maintains power through consent and culture, not just coercion. Influenced cultural studies and postcolonial theory.","Prison Notebooks, The Southern Question",marxism;cultural-hegemony;organic-intellectuals;cultural-marxism,40;77
48,Louis Althusser,person,1918,1990,"French Marxist philosopher who argued in 'Reading Capital' (1965) for structural Marxism. Developed concept of ideological state apparatuses explaining how ideology reproduces capitalist relations. Distinguished science from ideology in Marx's work.","Reading Capital, Lenin and Philosophy",structuralist-marxism;ideology;ideological-state-apparatuses,40;70
49,Jürgen Habermas,person,1929,present,"German philosopher and sociologist who developed theory of communicative action (1981). Defended rational Enlightenment project against postmodern critique. Analyzed public sphere's role in democracy. Second-generation Frankfurt School theorist.","The Theory of Communicative Action, The Structural Transformation of the Public Sphere",frankfurt-school;communicative-action;public-sphere;deliberative-democracy,43;44
50,E.P. Thompson,person,1924,1993,"British Marxist historian who wrote 'The Making of the English Working Class' (1963), pioneering social history from below. Emphasized human agency and culture against economic determinism. Founded history workshop movement.","The Making of the English Working Class, The Poverty of Theory",marxist-historiography;social-history;history-from-below;cultural-marxism,40;51;56
51,Eric Hobsbawm,person,1917,2012,"British Marxist historian who wrote monumental studies of 19th and 20th centuries. Analyzed capitalism's global spread and working-class formation. Combined economic analysis with cultural history. Influential in shaping Marxist historiography.","The Age of Revolution, The Age of Capital, The Age of Empire, The Age of Extremes",marxist-historiography;global-history;labor-history,40;50;56
52,Leopold von Ranke,person,1795,1886,"German historian who founded scientific history based on archival sources and source criticism. Famous for 'wie es eigentlich gewesen' (how it actually was), emphasizing objective reconstruction of past. Established seminar method and professional historical methodology in 'History of Latin and Germanic Nations' (1824).","History of the Latin and Germanic Nations, History of the Popes",scientific-history;source-criticism;objectivity;archival-research,53;54
53,Scientific History,framework,1820,1920,"Historical approach emphasizing objectivity, archival research, and source criticism. Sought to establish history as rigorous discipline like natural sciences. Dominated 19th-century historiography through emphasis on documents and facts.",,,52;54
54,Lord Acton,person,1834,1902,"British historian who directed Cambridge Modern History project, creating collaborative encyclopedic history. Famous dictum: 'Power tends to corrupt, and absolute power corrupts absolutely.' Advocated liberal Catholic historiography combining moral judgment with archival research.",Cambridge Modern History,scientific-history;liberal-history;encyclopedic-history,52;53
55,Jacob Burckhardt,person,1818,1897,"Swiss cultural historian who wrote 'The Civilization of the Renaissance in Italy' (1860), pioneering cultural history. Emphasized art, mentality, and social customs over political events. Influenced Geistesgeschichte (history of ideas) and Annales School.","The Civilization of the Renaissance in Italy, The Age of Constantine the Great",cultural-history;renaissance-studies;mentality,56
56,Annales School,framework,1920,1980,"Revolutionary French historiographical movement emphasizing long-term social and economic structures (longue durée) over political events. Founded by Marc Bloch and Lucien Febvre in 1929 journal. Applied interdisciplinary methods including geography, economics, and anthropology to history.",,,57;58;59;60;61
57,Marc Bloch,person,1886,1944,"French historian and Annales co-founder who pioneered comparative method in 'Feudal Society' (1939-1940). Integrated economic, social, and mental structures. Killed by Nazis for Resistance activities. Advocated problem-oriented history over narrative.","Feudal Society, The Royal Touch, The Historian's Craft",annales-school;comparative-history;feudalism;social-history,56;58
58,Lucien Febvre,person,1878,1956,"French historian and Annales co-founder who developed history of mentalities. Emphasized collective psychology and mental tools (outillage mental). Advocated interdisciplinary approaches. Founded journal Annales d'histoire économique et sociale (1929) with Bloch.","The Problem of Unbelief in the Sixteenth Century, The Coming of the Book",annales-school;history-of-mentalities;interdisciplinary-history,56;57;59
59,Fernand Braudel,person,1902,1985,"French historian who dominated second-generation Annales School. Developed concept of longue durée in 'The Mediterranean' (1949), distinguishing three temporal scales: geographic time (centuries), social time (decades), and individual time (events). Pioneered total history (histoire totale) integrating geography, economics, and culture.","The Mediterranean and the Mediterranean World in the Age of Philip II, Civilization and Capitalism",annales-school;longue-duree;total-history;geohistory,56;58;60
60,Emmanuel Le Roy Ladurie,person,1929,present,"French historian of third-generation Annales School who wrote 'Montaillou' (1975), pioneering microhistory through detailed reconstruction of medieval village. Combined quantitative methods with anthropological approaches. Studied climate history and serial history.",Montaillou,annales-school;microhistory;serial-history;climate-history,56;59
61,Jacques Le Goff,person,1924,2014,"French medievalist and third-generation Annales historian. Studied historical anthropology of medieval mentalities, including time, death, and purgatory. Bridged Annales structuralism with narrative history.",The Birth of Purgatory,annales-school;medieval-history;historical-anthropology,56;59
62,E.H. Carr,person,1892,1982,"British historian who wrote 'What Is History?' (1961), arguing that history is dialogue between historian and facts. Challenged both empiricist objectivity and complete relativism. Established critical realism balancing evidence and interpretation. Influenced reflexive historiography.","What Is History?, A History of Soviet Russia",critical-realism;historiography;fact-interpretation,63;64
63,Critical Realism,framework,1960,present,"Philosophical approach asserting that reality exists independently but knowledge is mediated by social context. In historiography, balances empiricism and constructivism. Emphasizes reflexivity about historians' biases while maintaining commitment to evidence.",,,62;64
64,Roy Bhaskar,person,1944,2014,"British philosopher who developed critical realism in 'A Realist Theory of Science' (1975). Argued for stratified ontology distinguishing real, actual, and empirical domains. Applied retroductive method to social sciences. Influenced by Marx and transcendental arguments.","A Realist Theory of Science, The Possibility of Naturalism",critical-realism;philosophy-of-science;retroduction,63
65,Ferdinand de Saussure,person,1857,1913,"Swiss linguist whose 'Course in General Linguistics' (1916, posthumous) founded structural linguistics. Distinguished langue (language system) from parole (individual speech), signifier from signified. Established synchronic analysis. Foundational for structuralism across disciplines.","Course in General Linguistics",structuralism;linguistics;semiotics,66;67;68
66,Structuralism,framework,1950,1975,"Intellectual movement analyzing cultural phenomena as systems of related elements. Emphasized underlying structures over surface meanings. Applied linguistic models to anthropology, literature, and psychoanalysis. Influenced by Saussure's linguistics.",,,65;67;68;69;70
67,Claude Lévi-Strauss,person,1908,2009,"French anthropologist who applied structural linguistics to anthropology in 'Structural Anthropology' (1958). Analyzed kinship systems, myths, and totems through binary oppositions. Argued that human mind universally structures experience through similar patterns.","Structural Anthropology, The Savage Mind, The Raw and the Cooked",structuralism;anthropology;binary-oppositions;myth-analysis,66;68
68,Roland Barthes,person,1915,1980,"French literary theorist who developed structuralist and post-structuralist semiotics. 'Mythologies' (1957) analyzed cultural signs and ideologies. 'S/Z' (1970) pioneered textual analysis. Later work emphasized pleasure of text and death of author.","Mythologies, S/Z, The Death of the Author",structuralism;post-structuralism;semiotics;literary-theory,66;69;70
69,Roman Jakobson,person,1896,1982,"Russian-American linguist who developed structural linguistics and communication theory. Identified six functions of language. Pioneered phonology. Influenced poetics through structural analysis of literary language.",Fundamentals of Language,structuralism;linguistics;poetics;formalism,66
70,Post-Structuralism,framework,1965,1990,"Intellectual movement challenging structuralism's claims about stable structures and binary oppositions. Emphasized instability of meaning, power/knowledge relations, and deconstruction. Influenced by Nietzsche, Freud, and Heidegger.",,,68;71;72;73;74;75
71,Michel Foucault,person,1926,1984,"French philosopher who analyzed relationships between power, knowledge, and discourse. 'Madness and Civilization' (1961), 'The Order of Things' (1966), 'Discipline and Punish' (1975), and 'History of Sexuality' (1976) examined how institutions produce subjects through discourse. Developed genealogical method tracing discontinuities in history. Influenced historiography, critical theory, and social sciences.","Madness and Civilization, The Order of Things, Discipline and Punish, The History of Sexuality",post-structuralism;power-knowledge;discourse-analysis;genealogy;biopower,70;72;84;91
72,Jacques Derrida,person,1930,2004,"French-Algerian philosopher who developed deconstruction in 'Of Grammatology' (1967) and 'Writing and Difference' (1967). Challenged Western metaphysics' logocentrism and binary oppositions. Coined différance to indicate deferred and differing meaning. Influenced literary theory, law, and architecture.","Of Grammatology, Writing and Difference, Margins of Philosophy",post-structuralism;deconstruction;differance;logocentrism-critique,70;71;73
73,Gilles Deleuze,person,1925,1995,"French philosopher who developed concepts of difference, becoming, and assemblage. 'Difference and Repetition' (1968) challenged identity logic. With Guattari, wrote 'Anti-Oedipus' (1972) critiquing psychoanalysis and capitalism. Developed rhizome theory opposing hierarchical thought.","Difference and Repetition, Anti-Oedipus (with Guattari), A Thousand Plateaus (with Guattari)",post-structuralism;assemblage;rhizome;capitalism-critique,70;74;119
74,Félix Guattari,person,1930,1992,"French psychoanalyst and philosopher who collaborated with Deleuze on 'Anti-Oedipus' (1972) and 'A Thousand Plateaus' (1980). Developed schizoanalysis as alternative to psychoanalysis. Emphasized machinic assemblages and ecosophy.","Anti-Oedipus (with Deleuze), A Thousand Plateaus (with Deleuze), The Three Ecologies",post-structuralism;schizoanalysis;ecosophy;assemblage,73;119
75,Julia Kristeva,person,1941,present,"Bulgarian-French philosopher and psychoanalyst who developed concepts of intertextuality, abjection, and semiotic/symbolic. Integrated linguistics, psychoanalysis, and feminism. Analyzed maternal body and pre-linguistic semiotic.","Revolution in Poetic Language, Powers of Horror",post-structuralism;psychoanalysis;feminism;intertextuality,70;83
76,Jean Baudrillard,person,1929,2007,"French sociologist and philosopher who analyzed consumer society and hyperreality. 'Simulacra and Simulation' (1981) argued that signs no longer represent reality but constitute it. Developed concepts of simulation and precession of simulacra.",Simulacra and Simulation,post-structuralism;hyperreality;simulation;consumer-culture,70
77,Hayden White,person,1928,2018,"American historian who revolutionized historiography with 'Metahistory' (1973). Analyzed how historians use literary tropes (metaphor, metonymy, synecdoche, irony) to construct narratives. Argued history is as much literary as scientific, undermining claims to objective truth. Influenced postmodern historiography.","Metahistory, The Content of the Form",postmodern-historiography;tropology;narrative;linguistic-turn,78;84
78,Postmodern Historiography,framework,1970,1995,"Historical approach emphasizing language, narrative, and discourse in constructing historical knowledge. Challenged objective truth claims and linear narratives. Analyzed how rhetoric and power shape historical representation. Influenced by post-structuralism and linguistic turn.",,,77;71;79;80
79,Dominick LaCapra,person,1939,present,"American intellectual historian who developed trauma theory in historiography. Analyzed how traumatic events like Holocaust challenge traditional historical representation. Emphasized working through versus acting out trauma. Integrated psychoanalysis with history.",Writing History Writing Trauma,postmodern-historiography;trauma-theory;intellectual-history;psychoanalysis,78;71
80,Frank Ankersmit,person,1945,present,"Dutch philosopher of history who developed narrative substance theory. Argued that historical narratives create irreducible representations not reducible to individual statements. Emphasized aesthetics and experience in historical understanding.",Narrative Logic,postmodern-historiography;narrative-theory;philosophy-of-history,78
81,Simone de Beauvoir,person,1908,1986,"French existentialist philosopher and feminist theorist who wrote 'The Second Sex' (1949), foundational for modern feminism. Analyzed woman as Other constructed through patriarchal society. Famous claim: 'One is not born, but rather becomes, a woman.' Developed existential feminism combining phenomenology with social critique.","The Second Sex, The Ethics of Ambiguity",feminism;existentialism;gender-construction;phenomenology,82;83;84
82,Second Wave Feminism,framework,1960,1990,"Feminist movement focusing on sexuality, family, workplace, reproductive rights, and legal inequalities. Challenged patriarchal structures in personal and political spheres. Produced diverse theories: liberal, radical, socialist, and cultural feminism.",,,81;83;85;86;87
83,Feminist Theory,framework,1960,present,"Intellectual tradition analyzing gender inequality and patriarchy. Emphasizes women's experiences and standpoint epistemology. Produced diverse approaches including liberal, radical, Marxist, psychoanalytic, postmodern, and intersectional feminisms.",,,81;82;84;85;86;87;88;89;90;91;92
84,Joan Wallach Scott,person,1941,present,"American historian who wrote 'Gender: A Useful Category of Historical Analysis' (1986), establishing gender as central analytical framework. Integrated post-structuralist theory with women's history. Argued gender is socially constructed system of meaning structuring power relations. Pioneered feminist historiography.","Gender and the Politics of History, Only Paradoxes to Offer",feminist-historiography;gender-analysis;post-structuralism;standpoint-epistemology,83;71;77;91
85,Betty Friedan,person,1921,2006,"American feminist activist who wrote 'The Feminine Mystique' (1963), analyzing housewife dissatisfaction and sparking second-wave feminism. Founded National Organization for Women (NOW). Advocated liberal feminism emphasizing equal opportunities.",The Feminine Mystique,liberal-feminism;second-wave-feminism,82;83
86,Kate Millett,person,1934,2017,"American feminist who wrote 'Sexual Politics' (1970), pioneering analysis of patriarchy in literature and theory. Coined term 'sexual politics' analyzing power in gender relations. Influenced radical feminism.",Sexual Politics,radical-feminism;patriarchy-analysis;second-wave-feminism,82;83
87,Germaine Greer,person,1939,present,"Australian feminist who wrote 'The Female Eunuch' (1970), analyzing women's oppression through family, sexuality, and capitalism. Advocated sexual liberation and revolutionary feminism.",The Female Eunuch,radical-feminism;sexual-liberation;second-wave-feminism,82;83
88,bell hooks,person,1952,2021,"American feminist theorist who wrote 'Ain't I a Woman' (1981) and 'Feminist Theory: From Margin to Center' (1984). Pioneered intersectional analysis of race, class, and gender. Critiqued mainstream feminism's exclusion of black women. Emphasized love, spirituality, and engaged pedagogy.","Ain't I a Woman, Feminist Theory: From Margin to Center, Teaching to Transgress",black-feminist-thought;intersectionality;critical-pedagogy;cultural-criticism,89;90;93
89,Black Feminist Thought,framework,1970,present,"Intellectual tradition centering black women's experiences and standpoint. Analyzes interlocking oppressions of race, class, and gender. Challenges both racist exclusions in feminism and sexist exclusions in black liberation movements. Developed intersectionality as analytical framework.",,,88;90;93;94
90,Patricia Hill Collins,person,1948,present,"American sociologist who systematized black feminist thought in 'Black Feminist Thought' (1990). Developed matrix of domination analyzing intersecting systems of oppression. Identified controlling images stereotyping black women. Emphasized standpoint theory and outsider-within perspective.","Black Feminist Thought, Intersectionality as Critical Social Theory",black-feminist-thought;intersectionality;matrix-of-domination;standpoint-theory,89;88;93;94
91,Donna Haraway,person,1944,present,"American biologist and feminist science studies scholar who wrote 'A Cyborg Manifesto' (1985) and 'Situated Knowledges' (1988). Challenged nature/culture binary and criticized objectivity. Developed cyborg feminism and companion species theory. Later work emphasizes staying with trouble in Anthropocene.","A Cyborg Manifesto, Situated Knowledges, Staying with the Trouble, The Companion Species Manifesto",cyberfeminism;feminist-sts;situated-knowledge;posthumanism;companion-species,83;84;98;105;107;113
92,Judith Butler,person,1956,present,"American philosopher who revolutionized gender theory with 'Gender Trouble' (1990). Developed performativity theory arguing gender is enacted through repeated performances, not natural essence. Challenged sex/gender distinction and heteronormative matrix. Founded queer theory alongside feminist theory.","Gender Trouble, Bodies That Matter, Precarious Life",queer-theory;gender-performativity;feminist-theory;post-structuralism,83;95;96;70
93,Kimberlé Crenshaw,person,1959,present,"American legal scholar who coined 'intersectionality' (1989) to analyze how race, class, and gender intersect in black women's experiences. Developed critical race feminism. Showed how anti-discrimination law fails to address multiple marginalization.","Demarginalizing the Intersection of Race and Sex, Mapping the Margins",intersectionality;critical-race-theory;black-feminist-thought;legal-theory,89;90;88
94,Audre Lorde,person,1934,1992,"American writer and activist who analyzed interconnections of racism, sexism, and homophobia. 'Sister Outsider' (1984) emphasized difference as strength and developed erotic as power. Coined 'the master's tools will never dismantle the master's house.'","Sister Outsider, The Cancer Journals, Zami: A New Spelling of My Name",black-feminist-thought;lesbian-feminism;intersectionality;difference,89;90;95
